"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","HHDI","NET","AGRWTH","A","1970",5.40690217206942,
"AUS","HHDI","NET","AGRWTH","A","1971",4.24924652098688,
"AUS","HHDI","NET","AGRWTH","A","1972",7.25955967425503,
"AUS","HHDI","NET","AGRWTH","A","1973",8.18904301360741,
"AUS","HHDI","NET","AGRWTH","A","1974",4.45191854132767,
"AUS","HHDI","NET","AGRWTH","A","1975",1.16079470509481,
"AUS","HHDI","NET","AGRWTH","A","1976",3.33376983369369,
"AUS","HHDI","NET","AGRWTH","A","1977",0.86834998073218,
"AUS","HHDI","NET","AGRWTH","A","1978",3.28164603308307,
"AUS","HHDI","NET","AGRWTH","A","1979",1.03071452448903,
"AUS","HHDI","NET","AGRWTH","A","1980",3.07348292429563,
"AUS","HHDI","NET","AGRWTH","A","1981",4.17113802804725,
"AUS","HHDI","NET","AGRWTH","A","1982",-0.223668826709149,
"AUS","HHDI","NET","AGRWTH","A","1983",4.06978687619873,
"AUS","HHDI","NET","AGRWTH","A","1984",2.61601739504,
"AUS","HHDI","NET","AGRWTH","A","1985",2.21082601684347,
"AUS","HHDI","NET","AGRWTH","A","1986",-0.154651797820391,
"AUS","HHDI","NET","AGRWTH","A","1987",2.4524028958853,
"AUS","HHDI","NET","AGRWTH","A","1988",5.34013579469334,
"AUS","HHDI","NET","AGRWTH","A","1989",4.0665903703699,
"AUS","HHDI","NET","AGRWTH","A","1990",0.721147391666831,
"AUS","HHDI","NET","AGRWTH","A","1991",0.654571824573672,
"AUS","HHDI","NET","AGRWTH","A","1992",2.03350549918178,
"AUS","HHDI","NET","AGRWTH","A","1993",2.13226575943855,
"AUS","HHDI","NET","AGRWTH","A","1994",3.68204456343335,
"AUS","HHDI","NET","AGRWTH","A","1995",3.77609297754995,
"AUS","HHDI","NET","AGRWTH","A","1996",4.14933197674384,
"AUS","HHDI","NET","AGRWTH","A","1997",2.17794275125025,
"AUS","HHDI","NET","AGRWTH","A","1998",4.5917139702681,
"AUS","HHDI","NET","AGRWTH","A","1999",3.56959930927515,
"AUS","HHDI","NET","AGRWTH","A","2000",4.23107836238778,
"AUS","HHDI","NET","AGRWTH","A","2001",4.19577288615341,
"AUS","HHDI","NET","AGRWTH","A","2002",1.09602574453958,
"AUS","HHDI","NET","AGRWTH","A","2003",5.62365561765437,
"AUS","HHDI","NET","AGRWTH","A","2004",5.57038846839983,
"AUS","HHDI","NET","AGRWTH","A","2005",2.33253403419202,
"AUS","HHDI","NET","AGRWTH","A","2006",5.07464315167782,
"AUS","HHDI","NET","AGRWTH","A","2007",6.68228805505555,
"AUS","HHDI","NET","AGRWTH","A","2008",6.58082270801136,
"AUS","HHDI","NET","AGRWTH","A","2009",1.4740655472946,
"AUS","HHDI","NET","AGRWTH","A","2010",4.49481540282316,
"AUS","HHDI","NET","AGRWTH","A","2011",3.90033975849573,
"AUS","HHDI","NET","AGRWTH","A","2012",0.62173653028725,
"AUS","HHDI","NET","AGRWTH","A","2013",2.05881832546502,
"AUS","HHDI","NET","AGRWTH","A","2014",1.76598154047753,
"AUT","HHDI","NET","AGRWTH","A","1996",-0.050716152345145,
"AUT","HHDI","NET","AGRWTH","A","1997",-0.216658084528876,
"AUT","HHDI","NET","AGRWTH","A","1998",2.97803146569983,
"AUT","HHDI","NET","AGRWTH","A","1999",3.67791372709416,
"AUT","HHDI","NET","AGRWTH","A","2000",1.48629049493311,
"AUT","HHDI","NET","AGRWTH","A","2001",-0.462793618612135,
"AUT","HHDI","NET","AGRWTH","A","2002",1.1956507301224,
"AUT","HHDI","NET","AGRWTH","A","2003",1.89093797007819,
"AUT","HHDI","NET","AGRWTH","A","2004",1.91250792142422,
"AUT","HHDI","NET","AGRWTH","A","2005",3.65655435788353,
"AUT","HHDI","NET","AGRWTH","A","2006",2.91927979202267,
"AUT","HHDI","NET","AGRWTH","A","2007",2.32670537193267,
"AUT","HHDI","NET","AGRWTH","A","2008",1.09451727251919,
"AUT","HHDI","NET","AGRWTH","A","2009",-0.0084167374109,
"AUT","HHDI","NET","AGRWTH","A","2010",-0.951283600373812,
"AUT","HHDI","NET","AGRWTH","A","2011",-0.014875550763581,
"AUT","HHDI","NET","AGRWTH","A","2012",1.73754319694422,
"AUT","HHDI","NET","AGRWTH","A","2013",-1.51675293633488,
"AUT","HHDI","NET","AGRWTH","A","2014",0.58793821686369,
"BEL","HHDI","NET","AGRWTH","A","1996",0.115409182691226,
"BEL","HHDI","NET","AGRWTH","A","1997",0.747936303261256,
"BEL","HHDI","NET","AGRWTH","A","1998",1.97965503594188,
"BEL","HHDI","NET","AGRWTH","A","1999",1.82763696523807,
"BEL","HHDI","NET","AGRWTH","A","2000",1.96866913131421,
"BEL","HHDI","NET","AGRWTH","A","2001",2.41653681434102,
"BEL","HHDI","NET","AGRWTH","A","2002",-0.174495998612849,
"BEL","HHDI","NET","AGRWTH","A","2003",0.224656231934176,
"BEL","HHDI","NET","AGRWTH","A","2004",0.055587533678666,
"BEL","HHDI","NET","AGRWTH","A","2005",0.857421552067735,
"BEL","HHDI","NET","AGRWTH","A","2006",2.0179726598874,
"BEL","HHDI","NET","AGRWTH","A","2007",1.96803994186774,
"BEL","HHDI","NET","AGRWTH","A","2008",2.19903873161309,
"BEL","HHDI","NET","AGRWTH","A","2009",1.89466728954508,
"BEL","HHDI","NET","AGRWTH","A","2010",-0.598782871151413,
"BEL","HHDI","NET","AGRWTH","A","2011",-0.503341646784581,
"BEL","HHDI","NET","AGRWTH","A","2012",0.647141305250938,
"BEL","HHDI","NET","AGRWTH","A","2013",-0.508879649752724,
"BEL","HHDI","NET","AGRWTH","A","2014",0.539426247455545,
"CAN","HHDI","NET","AGRWTH","A","1994",-0.015586396618633,"E"
"CAN","HHDI","NET","AGRWTH","A","1995",0.89655329285798,"E"
"CAN","HHDI","NET","AGRWTH","A","1996",-0.063452784195174,"E"
"CAN","HHDI","NET","AGRWTH","A","1997",1.69307998351123,"E"
"CAN","HHDI","NET","AGRWTH","A","1998",2.67558260190301,"E"
"CAN","HHDI","NET","AGRWTH","A","1999",3.2862272496235,"E"
"CAN","HHDI","NET","AGRWTH","A","2000",4.0040149029956,"E"
"CAN","HHDI","NET","AGRWTH","A","2001",2.42959494966358,"E"
"CAN","HHDI","NET","AGRWTH","A","2002",2.15814182418583,"E"
"CAN","HHDI","NET","AGRWTH","A","2003",2.24636020583656,"E"
"CAN","HHDI","NET","AGRWTH","A","2004",3.48461333211496,"E"
"CAN","HHDI","NET","AGRWTH","A","2005",2.50476054098379,"E"
"CAN","HHDI","NET","AGRWTH","A","2006",5.47782613385691,"E"
"CAN","HHDI","NET","AGRWTH","A","2007",3.35788682015614,"E"
"CAN","HHDI","NET","AGRWTH","A","2008",3.67055354330925,"E"
"CAN","HHDI","NET","AGRWTH","A","2009",1.55423688192939,"E"
"CAN","HHDI","NET","AGRWTH","A","2010",2.49158755353882,"E"
"CAN","HHDI","NET","AGRWTH","A","2011",2.28734478738484,
"CAN","HHDI","NET","AGRWTH","A","2012",2.31445738584156,
"CAN","HHDI","NET","AGRWTH","A","2013",1.81705920804444,
"CAN","HHDI","NET","AGRWTH","A","2014",1.29378735370099,
"CZE","HHDI","NET","AGRWTH","A","1996",6.24375365512043,
"CZE","HHDI","NET","AGRWTH","A","1997",2.28659347578624,
"CZE","HHDI","NET","AGRWTH","A","1998",-1.53158741322918,
"CZE","HHDI","NET","AGRWTH","A","1999",1.98997563182711,
"CZE","HHDI","NET","AGRWTH","A","2000",2.26133126289503,
"CZE","HHDI","NET","AGRWTH","A","2001",3.3629576726166,
"CZE","HHDI","NET","AGRWTH","A","2002",4.47000268282252,
"CZE","HHDI","NET","AGRWTH","A","2003",4.07035285938824,
"CZE","HHDI","NET","AGRWTH","A","2004",2.00343877374436,
"CZE","HHDI","NET","AGRWTH","A","2005",3.16087781398425,
"CZE","HHDI","NET","AGRWTH","A","2006",4.27598687643791,
"CZE","HHDI","NET","AGRWTH","A","2007",2.78690991345792,
"CZE","HHDI","NET","AGRWTH","A","2008",2.0259843930198,
"CZE","HHDI","NET","AGRWTH","A","2009",2.33707701812833,
"CZE","HHDI","NET","AGRWTH","A","2010",0.113244708440777,
"CZE","HHDI","NET","AGRWTH","A","2011",-1.27616223455271,
"CZE","HHDI","NET","AGRWTH","A","2012",-1.145250875321,
"CZE","HHDI","NET","AGRWTH","A","2013",-0.313638137597331,
"CZE","HHDI","NET","AGRWTH","A","2014",2.77507449917233,
"CZE","HHDI","NET","AGRWTH","A","2015",2.70104645187766,
"DNK","HHDI","NET","AGRWTH","A","1996",0.915043682495294,
"DNK","HHDI","NET","AGRWTH","A","1997",-0.369031925768463,
"DNK","HHDI","NET","AGRWTH","A","1998",3.00159955430788,
"DNK","HHDI","NET","AGRWTH","A","1999",-1.1907869777516,
"DNK","HHDI","NET","AGRWTH","A","2000",1.15008760243284,
"DNK","HHDI","NET","AGRWTH","A","2001",3.32465695950855,
"DNK","HHDI","NET","AGRWTH","A","2002",3.13244514781664,
"DNK","HHDI","NET","AGRWTH","A","2003",1.92494776615895,
"DNK","HHDI","NET","AGRWTH","A","2004",2.32112253672311,
"DNK","HHDI","NET","AGRWTH","A","2005",2.14473814414469,
"DNK","HHDI","NET","AGRWTH","A","2006",2.49844868796798,
"DNK","HHDI","NET","AGRWTH","A","2007",-0.19157269187017,
"DNK","HHDI","NET","AGRWTH","A","2008",0.450223748982925,
"DNK","HHDI","NET","AGRWTH","A","2009",2.86247329587321,
"DNK","HHDI","NET","AGRWTH","A","2010",3.2210489982844,
"DNK","HHDI","NET","AGRWTH","A","2011",0.413239371391169,
"DNK","HHDI","NET","AGRWTH","A","2012",-0.121993559757777,
"DNK","HHDI","NET","AGRWTH","A","2013",-0.754983868864676,
"DNK","HHDI","NET","AGRWTH","A","2014",1.34946349271353,
"DNK","HHDI","NET","AGRWTH","A","2015",5.27548114306532,
"FIN","HHDI","NET","AGRWTH","A","1996",0.303560998644706,
"FIN","HHDI","NET","AGRWTH","A","1997",4.44805643667385,
"FIN","HHDI","NET","AGRWTH","A","1998",3.48526744392939,
"FIN","HHDI","NET","AGRWTH","A","1999",4.60266284039081,
"FIN","HHDI","NET","AGRWTH","A","2000",1.60354891697857,
"FIN","HHDI","NET","AGRWTH","A","2001",1.98970201806204,
"FIN","HHDI","NET","AGRWTH","A","2002",2.84161208438496,
"FIN","HHDI","NET","AGRWTH","A","2003",3.41691553576132,
"FIN","HHDI","NET","AGRWTH","A","2004",3.93468161995304,
"FIN","HHDI","NET","AGRWTH","A","2005",1.508478589469,
"FIN","HHDI","NET","AGRWTH","A","2006",2.25027228090667,
"FIN","HHDI","NET","AGRWTH","A","2007",2.99469790942188,
"FIN","HHDI","NET","AGRWTH","A","2008",2.23699300460734,
"FIN","HHDI","NET","AGRWTH","A","2009",1.03945257487173,
"FIN","HHDI","NET","AGRWTH","A","2010",2.34960358235671,
"FIN","HHDI","NET","AGRWTH","A","2011",1.00374846675339,
"FIN","HHDI","NET","AGRWTH","A","2012",-0.02667400431082,
"FIN","HHDI","NET","AGRWTH","A","2013",0.316188698411828,
"FIN","HHDI","NET","AGRWTH","A","2014",-0.805197191009482,
"FRA","HHDI","NET","AGRWTH","A","1979",1.18372743900504,
"FRA","HHDI","NET","AGRWTH","A","1980",0.750587029880925,
"FRA","HHDI","NET","AGRWTH","A","1981",1.94635925674147,
"FRA","HHDI","NET","AGRWTH","A","1982",2.54790775957784,
"FRA","HHDI","NET","AGRWTH","A","1983",0.327668461486189,
"FRA","HHDI","NET","AGRWTH","A","1984",-0.386952046889713,
"FRA","HHDI","NET","AGRWTH","A","1985",1.31016201414583,
"FRA","HHDI","NET","AGRWTH","A","1986",2.52205029440032,
"FRA","HHDI","NET","AGRWTH","A","1987",1.50396985399344,
"FRA","HHDI","NET","AGRWTH","A","1988",3.34989306146295,
"FRA","HHDI","NET","AGRWTH","A","1989",3.52386854026722,
"FRA","HHDI","NET","AGRWTH","A","1990",3.77017889503385,
"FRA","HHDI","NET","AGRWTH","A","1991",1.77599115950939,
"FRA","HHDI","NET","AGRWTH","A","1992",2.4692332426555,
"FRA","HHDI","NET","AGRWTH","A","1993",1.22919113711984,
"FRA","HHDI","NET","AGRWTH","A","1994",0.810407021206602,
"FRA","HHDI","NET","AGRWTH","A","1995",2.30203483557034,
"FRA","HHDI","NET","AGRWTH","A","1996",1.049799644949,
"FRA","HHDI","NET","AGRWTH","A","1997",1.46703667607842,
"FRA","HHDI","NET","AGRWTH","A","1998",2.96371736195521,
"FRA","HHDI","NET","AGRWTH","A","1999",2.68492632703408,
"FRA","HHDI","NET","AGRWTH","A","2000",3.26311480736821,
"FRA","HHDI","NET","AGRWTH","A","2001",2.98744389901004,
"FRA","HHDI","NET","AGRWTH","A","2002",3.02956683916906,
"FRA","HHDI","NET","AGRWTH","A","2003",0.978909211673498,
"FRA","HHDI","NET","AGRWTH","A","2004",2.12252565115803,
"FRA","HHDI","NET","AGRWTH","A","2005",0.936815483850293,
"FRA","HHDI","NET","AGRWTH","A","2006",2.05223917506913,
"FRA","HHDI","NET","AGRWTH","A","2007",2.81639492307214,
"FRA","HHDI","NET","AGRWTH","A","2008",0.348176002329423,
"FRA","HHDI","NET","AGRWTH","A","2009",1.75450104116235,
"FRA","HHDI","NET","AGRWTH","A","2010",1.4398051768995,
"FRA","HHDI","NET","AGRWTH","A","2011",0.401193639047789,
"FRA","HHDI","NET","AGRWTH","A","2012",-0.324883158392714,
