"genres";"plays";"danceability";"artist_plays_previous_month"
"Alternative,Pop";5;0.686;5
"SpokenWord";11;0.679;6819
"RnbAndSoul";1;0.832;1
"Jazz,Pop";16;0.753;5
"Electronic";2;0.63;14
"Alternative,Rock";3;0.413;2
"AudioBooks";81;0.528;3483
"Rock";3;0.514;0
"Electronic";5;0.0616;193
"Alternative,Rock";10;0.686;0
"Alternative";186;0.676;247
"Alternative,Rock";86;0.21;0
"HipHop";9846;0.689;96223
"HipHop";834;0.618;NA
"Alternative";91;0.573;620
"Alternative";8;0.505;105
"Holiday";7;0.444;34
"SpokenWord";23;0.714;6319
"Electronic,Folk";2306;0.557;0
"Alternative";5;0.721;NA
"Electronic";31;0.552;0
"Pop";99;0.492;NA
"Alternative";5;0.473;NA
"Pop,Rock";19;0.474;68
"Dance";58;0.595;56
"Classical,Rock";45;0.351;0
"Reggae,World";1;0.719;NA
"Rock";1;0.318;10
"Rock";221;0.392;0
"Rock";173;0.408;NA
"Blues";1;0.549;3
"Soundtrack";2411;0.589;506032
"Alternative,Rock";3;0.567;2
"Pop";131;0.603;NA
"Rock";1;0.18;NA
"Jazz";8;0.76;NA
"Rock";2;0.476;29
"NewAge";177;0.0808;216630
"HipHop";274;0.606;NA
"Rock";28;0.352;19
"HipHop";1266;0.569;96223
"Folk,World";6;0.316;520
"Rock";51;0.36;0
"Classical";1;0.237;2
"Electronic";117;0.558;129122
"Pop,Rock";1;0.571;NA
"Pop";41;0.389;4
"Alternative,Rock";1;0.263;4
"Electronic";12;0.761;157
"Electronic,Inspirational";16;0.266;145
"Alternative,Rock";21;0.372;28
"HipHop,Pop";292;0.791;0
"Pop";1;0.512;NA
"Alternative,Rock";20;0.571;0
"Holiday,Pop";18;0.679;16
"Pop,Rock";7;0.55;0
"World";51;0.261;75
"Comedy";2;0.648;854
"Electronic";899;0.399;54389
"Country";19;0.634;1297
"Dance";586;0.697;2620
"Pop";84;0.513;NA
"Rock";6;0.496;5
"Dance,Electronic";10;0.493;0
"Classical";4;0.208;12
"Folk,Rock";29;0.431;60
"HipHop";520;0.804;1401
"Pop";155;0.373;NA
"Folk";10;0.111;292
